unix,open,high,low,close,Volume LINK,Volume BTC
1688256000,0.000210,0.000213,0.000209,0.000212,160.066219,0.033897
1688169600,0.000208,0.000213,0.000202,0.000213,3940.018086,0.838554
1688083200,0.000194,0.000211,0.000193,0.000206,1808.067509,0.371956
1687996800,0.000194,0.000198,0.000193,0.000195,276.345404,0.053752
1687910400,0.000201,0.000201,0.000193,0.000194,247.031888,0.047828
1687824000,0.000203,0.000205,0.000200,0.000202,135.331466,0.027294
1687737600,0.000200,0.000205,0.000200,0.000201,96.709074,0.019451
1687651200,0.000201,0.000207,0.000201,0.000201,1385.788310,0.278959
1687564800,0.000198,0.000201,0.000197,0.000200,111.159412,0.022264
1687478400,0.000188,0.000199,0.000188,0.000197,871.562748,0.171855
1687392000,0.000188,0.000192,0.000186,0.000186,753.532658,0.140232
1687305600,0.000186,0.000186,0.000181,0.000185,1338.900882,0.247081
1687219200,0.000191,0.000191,0.000186,0.000186,56.454271,0.010510
1687132800,0.000195,0.000196,0.000190,0.000191,611.542003,0.116529
1687046400,0.000198,0.000198,0.000194,0.000196,83.308469,0.016328
1686960000,0.000202,0.000203,0.000199,0.000199,537.030754,0.106917
1686873600,0.000207,0.000208,0.000202,0.000203,116.681624,0.023646
1686787200,0.000211,0.000212,0.000209,0.000209,637.339415,0.132962
1686700800,0.000204,0.000211,0.000204,0.000209,102.502187,0.021400
1686614400,0.000199,0.000204,0.000199,0.000204,327.709275,0.066758
1686528000,0.000196,0.000201,0.000196,0.000199,132.033161,0.026337
1686441600,0.000202,0.000208,0.000199,0.000200,310.157107,0.061889
1686355200,0.000225,0.000225,0.000192,0.000203,9653.363936,1.957895
1686268800,0.000224,0.000227,0.000224,0.000226,458.849400,0.103571
1686182400,0.000226,0.000227,0.000225,0.000227,65.204217,0.014798
1686096000,0.000233,0.000233,0.000223,0.000223,761.924773,0.169917
1686009600,0.000236,0.000242,0.000230,0.000230,2311.492091,0.531643
1685923200,0.000239,0.000239,0.000233,0.000235,6650.774525,1.562333
1685836800,0.000239,0.000240,0.000238,0.000240,64.610638,0.015490
1685750400,0.000237,0.000237,0.000236,0.000236,14.975175,0.003531
1685664000,0.000238,0.000239,0.000235,0.000237,67.219656,0.015912
1685577600,0.000239,0.000241,0.000237,0.000237,169.221044,0.040112
1685491200,0.000239,0.000240,0.000228,0.000238,12380.507323,2.941361
1685404800,0.000240,0.000240,0.000235,0.000238,6849.862037,1.632528
1685318400,0.000236,0.000240,0.000235,0.000240,4044.048274,0.970410
1685232000,0.000240,0.000240,0.000236,0.000237,386.961038,0.091625
1685145600,0.000238,0.000240,0.000237,0.000240,26.441090,0.006338
1685059200,0.000238,0.000239,0.000237,0.000237,4774.692901,1.133846
1684972800,0.000240,0.000241,0.000237,0.000237,3352.695325,0.796198
1684886400,0.000239,0.000241,0.000237,0.000240,1666.825202,0.399971
1684800000,0.000243,0.000243,0.000239,0.000240,422.522835,0.101397
