unix,open,high,low,close,Volume LINK,Volume USD,return,log_return,SMA_24,volatility_24
1740528000,15.297000,15.748860,14.664590,15.241240,62463.673603,952023.840665,0.009153,0.009112,14.558970,0.073766
1740441600,15.228000,15.562900,14.067330,15.297000,66666.962767,1019804.529447,0.003658,0.003652,14.614686,0.073632
1740355200,17.577590,17.700000,15.000000,15.228000,51788.098205,788629.159466,-0.004511,-0.004521,14.657282,0.073624
1740268800,17.804690,18.111030,17.438850,17.577590,7429.769719,130597.445915,0.154294,0.143489,14.763780,0.079052
1740182400,17.413390,18.012890,17.305580,17.804690,6699.818281,119288.187550,0.012920,0.012837,14.925429,0.077075
1740096000,18.338000,19.047980,17.124020,17.413390,44724.391950,778803.279538,-0.021977,-0.022222,15.065403,0.077405
1740009600,18.002970,18.460980,17.834000,18.338000,22595.897151,414363.561955,0.053098,0.051736,15.272674,0.076719
1739923200,17.884910,18.175430,17.438850,18.002970,21142.545173,380628.606473,-0.018270,-0.018439,15.438029,0.076665
1739836800,19.101000,19.174900,17.300000,17.884910,51364.963108,918657.742340,-0.006558,-0.006579,15.614020,0.076322
1739750400,18.651950,19.767480,18.371000,19.101000,34659.609383,662033.198825,0.067995,0.065783,15.867549,0.075927
1739664000,19.028060,19.237810,18.576580,18.651950,11251.197422,209856.771755,-0.023509,-0.023790,16.084089,0.076336
1739577600,19.420790,19.641820,18.762340,19.028060,29489.296886,561124.110505,0.020165,0.019964,16.331981,0.075749
1739491200,18.561080,19.850000,18.452000,19.420790,30623.777689,594737.955505,0.020640,0.020429,16.615764,0.074863
1739404800,19.203930,19.333450,18.200000,18.561080,24466.323833,454121.393970,-0.044268,-0.045277,16.816865,0.074515
1739318400,18.655320,19.500000,17.510000,19.203930,66417.292295,1275473.032023,0.034634,0.034048,16.982727,0.071984
1739232000,18.796960,19.768210,18.227000,18.655320,26028.928728,485577.994678,-0.028568,-0.028984,17.095085,0.072014
1739145600,18.306070,19.329030,17.703380,18.796960,17481.675516,328602.355407,0.007592,0.007564,17.168166,0.070910
1739059200,18.470080,19.002280,17.471200,18.306070,12990.271553,237800.820368,-0.026115,-0.026462,17.246641,0.070670
1738972800,18.401170,18.644610,17.899340,18.470080,18044.217806,333278.146414,0.008959,0.008919,17.396679,0.067288
1738886400,18.586040,19.846010,17.821710,18.401170,48198.131951,886902.019713,-0.003731,-0.003738,17.562948,0.066778
1738800000,19.237800,19.931490,18.445680,18.586040,41824.028695,777343.070286,0.010047,0.009997,17.611080,0.051915
1738713600,20.044810,20.372200,18.991620,19.237800,40794.426615,784795.020334,0.035067,0.034466,17.797253,0.040079
1738627200,21.700000,21.737840,19.355040,20.044810,55589.340710,1114277.772557,0.041949,0.041093,18.014827,0.040501
1738540800,20.468270,22.076470,16.799960,21.700000,122815.469763,2665095.693857,0.082574,0.079342,18.289702,0.042892
1738454400,23.086100,23.308550,19.399620,20.468270,48138.339573,985308.531732,-0.056762,-0.058436,18.507495,0.045390
1738368000,25.118380,25.910260,22.785460,23.086100,26446.855486,610554.750435,0.127897,0.120355,18.832041,0.050982
1738281600,24.435660,26.376440,24.174170,25.118380,29500.585998,741006.929320,0.088030,0.084369,19.244140,0.052640
1738195200,23.596890,25.226690,23.405640,24.435660,40618.864748,992548.768568,-0.027180,-0.027556,19.529893,0.045397
1738108800,22.644000,24.444780,22.337240,23.596890,33852.510221,798813.959909,-0.034326,-0.034929,19.771235,0.046492
1738022400,24.192270,24.663540,22.363920,22.644000,35614.896771,806463.722483,-0.040382,-0.041220,19.989177,0.047237
1737936000,24.908480,25.115170,22.209840,24.192270,63811.056827,1543734.315744,0.068374,0.066138,20.233105,0.047912
1737849600,24.920000,26.387980,24.846170,24.908480,17234.425899,429283.352817,0.029605,0.029175,20.520834,0.047563
1737763200,25.220160,25.427270,24.723260,24.920000,27409.999686,683057.192175,0.000462,0.000462,20.813963,0.047448
1737676800,25.629380,26.430050,24.879000,25.220160,36059.515853,909426.759335,0.012045,0.011973,21.068928,0.046084
1737590400,25.285940,26.838390,24.033570,25.629380,74996.035739,1922101.898448,0.016226,0.016096,21.359654,0.045438
1737504000,26.664000,27.151260,25.214430,25.285940,29904.316396,756158.750130,-0.013400,-0.013491,21.620399,0.045765
1737417600,25.084840,27.044670,23.682790,26.664000,81856.939332,2182633.430348,0.054499,0.053066,21.922200,0.046530
1737331200,24.367340,26.884590,23.320390,25.084840,68028.798985,1706491.537931,-0.059224,-0.061051,22.194023,0.047440
1737244800,24.127690,26.648200,22.200000,24.367340,67072.700267,1634383.292124,-0.028603,-0.029020,22.409165,0.047978
1737158400,25.084010,25.632670,23.354100,24.127690,41045.653285,990336.798308,-0.009835,-0.009884,22.637180,0.047455
1737072000,23.019350,25.220150,23.019350,25.084010,33698.373333,845290.333669,0.039636,0.038870,22.899141,0.047781
1736985600,22.150000,23.822750,21.322690,23.019350,39130.446231,900757.437448,-0.082310,-0.085895,23.095528,0.051054
1736899200,20.269240,22.191020,20.089550,22.150000,39344.192029,871473.853442,-0.037766,-0.038498,23.248857,0.052010
1736812800,19.380000,20.470000,19.250000,20.290000,51925.054587,1053559.357565,-0.083145,-0.086806,23.313333,0.055474
1736812800,19.359800,20.490960,19.274940,20.269240,24762.946239,501926.100425,-0.084910,-0.088733,23.326694,0.055395
1736726400,19.800000,20.400000,17.830000,19.330000,55855.844559,1079693.475318,-0.047314,-0.048470,23.347083,0.056512
1736726400,19.860790,20.440000,17.871620,19.359800,45647.719757,883730.724952,-0.044868,-0.045906,23.358934,0.056324
1736640000,20.160000,20.300000,19.600000,19.810000,12136.872872,240431.451589,0.024832,0.024529,23.372917,0.056272
1736640000,20.185750,20.316250,19.616200,19.860790,12392.753701,246129.878777,0.025878,0.025549,23.384892,0.056129
1736553600,20.290000,20.680000,19.850000,20.220000,37871.326803,765758.227963,0.020697,0.020485,23.382917,0.055819
1736553600,20.269960,20.672100,19.826440,20.185750,8911.882908,179893.040410,0.016362,0.016229,23.390764,0.055594
1736467200,19.700000,20.500000,19.550000,20.250000,29768.853660,602819.286611,0.001484,0.001483,23.325833,0.053150
1736467200,19.654200,20.533720,19.570310,20.269960,23949.639681,485458.238348,0.004172,0.004163,23.331179,0.052875
1736380800,20.450000,20.720000,19.150000,19.600000,65042.189304,1274826.910350,-0.032099,-0.032625,23.288750,0.052466
1736380800,20.500430,20.759850,19.147940,19.654200,40125.932516,788643.102856,-0.030378,-0.030849,23.297260,0.051943
1736294400,21.510000,21.710000,19.580000,20.450000,103759.082788,2121873.243019,0.043367,0.042453,23.183333,0.046664
1736294400,21.379760,21.732610,19.610590,20.500430,48104.722786,986167.502144,0.043056,0.042155,23.189523,0.045292
1736208000,23.730000,23.820000,21.200000,21.400000,95381.704951,2041168.485948,0.046455,0.045408,23.026250,0.043082
1736208000,23.835900,23.835900,21.200610,21.379760,44839.042318,958647.963389,0.042893,0.041999,23.033748,0.042133
1736121600,23.620000,24.770000,23.040000,23.810000,73342.849304,1746293.241939,0.112617,0.106715,22.998333,0.049095
1736121600,23.505190,24.770900,22.976920,23.835900,50083.910840,1193795.090391,0.114882,0.108748,23.008758,0.048501
1736035200,23.600000,23.770000,22.900000,23.660000,28523.746433,674871.840610,-0.006300,-0.006320,23.000833,0.048521
1736035200,23.573440,23.739120,22.832740,23.505190,26772.255983,629286.963609,-0.013874,-0.013972,23.004937,0.048048
1735948800,23.450000,24.030000,22.880000,23.600000,47528.967148,1121683.624693,-0.002536,-0.002539,23.041250,0.047690
1735948800,23.458040,24.001940,22.900000,23.573440,9714.128391,228995.422778,0.002904,0.002899,23.043663,0.047235
1735862400,22.050000,23.870000,21.650000,23.470000,78907.435300,1851957.506490,-0.005508,-0.005524,23.010833,0.045549
1735862400,22.010140,23.856860,21.604990,23.458040,34986.924168,820724.666610,-0.004895,-0.004907,23.013070,0.045130
1735776000,21.710000,22.870000,21.700000,22.110000,109094.584187,2412081.256375,-0.057946,-0.059693,22.895417,0.046592
1735776000,21.708460,22.851600,21.697900,22.010140,35757.902930,787036.449596,-0.061723,-0.063710,22.892306,0.046332
1735689600,20.000000,21.790000,19.670000,21.710000,35544.048363,771661.289963,-0.018091,-0.018257,22.760417,0.046657
1735689600,19.993380,21.881300,19.686430,21.708460,41095.866753,892127.979573,-0.013706,-0.013801,22.758492,0.046361
1735603200,20.550000,21.180000,19.750000,20.000000,97127.994677,1942559.893536,-0.078766,-0.082041,22.545000,0.048921
1735603200,20.565000,21.088690,19.826440,19.993380,29538.709484,590578.643423,-0.079005,-0.082301,22.540710,0.048602
1735516800,20.850000,21.760000,20.060000,20.600000,27215.949833,560648.566554,0.030000,0.029559,22.333333,0.049208
