unix,open,high,low,close,Volume BTC,Volume USDC
1663934400,18914.000000,18927.000000,18863.000000,18885.000000,0.689232,13016.141976
1663930800,18933.000000,18961.000000,18850.000000,18850.000000,0.502234,9467.104114
1663927200,19082.000000,19115.000000,18996.000000,18996.000000,0.384530,7304.534729
1663923600,19076.000000,19136.000000,18983.000000,19077.000000,0.250575,4780.209927
1663920000,19266.000000,19266.000000,18963.000000,19065.000000,5.779338,110183.071535
1663916400,19264.000000,19315.000000,19224.000000,19261.000000,0.457646,8814.725770
1663912800,19393.000000,19396.000000,19325.000000,19325.000000,0.197738,3821.292647
1663909200,19445.000000,19458.000000,19369.000000,19369.000000,3.374732,65365.175973
1663905600,19379.000000,19455.000000,19364.000000,19411.000000,0.306016,5940.073082
1663902000,19347.000000,19434.000000,19347.000000,19388.000000,0.091168,1767.571970
1663898400,19303.000000,19303.000000,19303.000000,19303.000000,0.000000,0.000000
1663894800,19303.000000,19303.000000,19303.000000,19303.000000,0.003262,62.966386
1663891200,19332.000000,19332.000000,19332.000000,19332.000000,0.005332,103.078224
1663887600,19409.000000,19513.000000,19409.000000,19422.000000,1.027495,19956.003617
1663884000,19423.000000,19423.000000,19419.000000,19420.000000,0.222474,4320.446634
1663880400,19244.000000,19265.000000,19214.000000,19214.000000,0.117425,2256.201836
1663876800,19318.000000,19350.000000,19307.000000,19308.000000,0.353875,6832.612708
1663873200,19216.000000,19468.000000,19216.000000,19347.000000,0.478731,9262.008464
1663869600,19048.000000,19205.000000,18991.000000,19186.000000,0.893179,17136.531718
1663866000,19039.000000,19091.000000,18959.000000,19074.000000,0.576304,10992.424976
1663862400,18842.000000,18970.000000,18842.000000,18951.000000,0.040866,774.446639
1663858800,18951.000000,19018.000000,18927.000000,18974.000000,0.103206,1958.224193
1663855200,18909.000000,19053.000000,18874.000000,18904.000000,0.344847,6518.990335
1663851600,19183.000000,19183.000000,18910.000000,18910.000000,0.414111,7830.838254
1663848000,19202.000000,19275.000000,19156.000000,19275.000000,0.753992,14533.199655
1663844400,19129.000000,19250.000000,19040.000000,19235.000000,0.224559,4319.384286
1663840800,19135.000000,19216.000000,19090.000000,19129.000000,0.531154,10160.446588
1663837200,19173.000000,19173.000000,19125.000000,19150.000000,0.479250,9177.643437
1663833600,18944.000000,19260.000000,18927.000000,19212.000000,0.744945,14311.881035
1663830000,18769.000000,18945.000000,18769.000000,18945.000000,0.132569,2511.519516
1663826400,18760.000000,18846.000000,18711.000000,18785.000000,0.140660,2642.291150
1663822800,18713.000000,18713.000000,18650.000000,18679.000000,0.047905,894.817495
1663819200,18726.000000,18726.000000,18687.000000,18699.000000,0.041823,782.044724
1663815600,18720.000000,18743.000000,18705.000000,18705.000000,0.024004,448.994820
1663812000,18527.000000,18756.000000,18527.000000,18720.000000,0.127621,2389.067179
1663808400,18468.000000,18516.000000,18398.000000,18516.000000,0.054664,1012.165475
1663804800,18456.000000,18489.000000,18388.000000,18395.000000,0.409038,7524.262656
1663801200,18472.000000,18565.000000,18456.000000,18456.000000,0.050359,929.434378
1663797600,18300.000000,18459.000000,18169.000000,18459.000000,0.909167,16782.314761
1663794000,18900.000000,18900.000000,18368.000000,18477.000000,3.121275,57671.798914
1663790400,18995.000000,19037.000000,18891.000000,18921.000000,1.245933,23574.300374
1663786800,19594.000000,19624.000000,18995.000000,19046.000000,17.782377,338683.161484
1663783200,19789.000000,19900.000000,18755.000000,19637.000000,17.168394,337135.746105
1663779600,19248.000000,19553.000000,19240.000000,19505.000000,2.191447,42744.182707
1663776000,19186.000000,19285.000000,19182.000000,19237.000000,0.353448,6799.285332
1663772400,19251.000000,19292.000000,19112.000000,19205.000000,1.310283,25163.985015
1663768800,19279.000000,19468.000000,19228.000000,19262.000000,8.642468,166471.222276
1663765200,19253.000000,19320.000000,19230.000000,19289.000000,4.849828,93548.335957
1663761600,19164.000000,19253.000000,19140.000000,19249.000000,3.121841,60092.316062
1663758000,19106.000000,19180.000000,19094.000000,19180.000000,0.568926,10911.994159
1663754400,19011.000000,19144.000000,18950.000000,19111.000000,0.234035,4472.652058
1663750800,18854.000000,19003.000000,18854.000000,19003.000000,0.091789,1744.274918
1663747200,18942.000000,18942.000000,18838.000000,18888.000000,0.048568,917.359184
1663743600,18873.000000,18969.000000,18814.000000,18946.000000,0.363013,6877.651308
1663740000,18936.000000,18936.000000,18811.000000,18866.000000,0.534660,10086.896315
1663736400,19016.000000,19104.000000,19016.000000,19047.000000,0.019292,367.447677
1663732800,18984.000000,18984.000000,18963.000000,18973.000000,0.009849,186.859575
1663729200,19015.000000,19017.000000,18991.000000,19012.000000,0.063365,1204.700893
1663725600,18923.000000,19049.000000,18923.000000,19040.000000,0.146915,2797.269597
1663722000,18955.000000,18955.000000,18884.000000,18884.000000,0.302230,5707.320384
1663718400,18924.000000,18934.000000,18924.000000,18934.000000,0.031795,602.006530
