unix,open,high,low,close,Volume BTC,Volume USDT
1742158800,83104.000000,83104.000000,83104.000000,83104.000000,0.000000,0.000000
1742155200,83171.000000,83194.000000,83104.000000,83104.000000,0.356341,29613.380747
1742151600,83023.000000,83195.000000,82936.000000,83195.000000,0.730947,60811.134001
1742148000,83853.000000,84011.000000,83724.000000,83754.000000,0.164667,13791.543369
1742144400,83936.000000,83936.000000,83504.000000,83633.000000,0.340283,28458.883957
1742140800,83581.000000,85080.000000,83474.000000,83474.000000,2.243392,187264.935528
1742137200,83296.000000,83392.000000,83097.000000,83392.000000,0.474218,39545.974947
1742133600,82907.000000,83047.000000,82658.000000,83047.000000,0.169214,14052.707584
1742130000,82940.000000,82994.000000,82936.000000,82994.000000,0.030274,2512.549567
1742126400,82397.000000,82923.000000,82397.000000,82709.000000,0.134677,11139.008264
1742122800,83250.000000,83250.000000,82365.000000,82365.000000,0.246002,20261.917666
1742119200,83891.000000,84028.000000,83757.000000,83775.000000,0.050425,4224.387047
1742115600,84229.000000,84229.000000,83804.000000,83869.000000,0.047377,3973.495161
1742112000,84289.000000,84324.000000,84192.000000,84269.000000,0.024072,2028.505672
1742108400,84224.000000,84367.000000,84067.000000,84237.000000,0.036150,3045.177658
1742104800,84389.000000,84389.000000,84306.000000,84306.000000,0.071171,6000.170147
1742101200,84339.000000,84389.000000,84339.000000,84359.000000,0.009131,770.319147
1742097600,84371.000000,84371.000000,84276.000000,84308.000000,0.017786,1499.460777
1742094000,84033.000000,84215.000000,84033.000000,84208.000000,0.009562,805.199422
1742090400,84024.000000,84077.000000,84024.000000,84043.000000,0.004518,379.670976
1742086800,84166.000000,84166.000000,83946.000000,84022.000000,0.123515,10377.985732
1742083200,84346.000000,84346.000000,84299.000000,84299.000000,0.005031,424.077078
1742079600,84394.000000,84394.000000,84311.000000,84383.000000,0.014120,1191.503149
1742076000,84404.000000,84419.000000,84404.000000,84409.000000,0.018262,1541.508389
1742072400,84305.000000,84442.000000,84305.000000,84442.000000,0.013068,1103.499033
1742068800,84414.000000,84426.000000,84407.000000,84407.000000,0.017022,1436.809717
1742065200,84216.000000,84295.000000,84216.000000,84295.000000,0.005602,472.185186
1742061600,84444.000000,84449.000000,84196.000000,84196.000000,0.012478,1050.601898
1742058000,84358.000000,84427.000000,84358.000000,84427.000000,0.009997,844.012498
1742054400,84336.000000,84395.000000,84336.000000,84395.000000,0.021025,1774.387152
1742050800,84338.000000,84388.000000,84256.000000,84258.000000,0.102709,8654.074301
1742047200,84282.000000,84282.000000,84136.000000,84201.000000,0.035131,2958.039229
1742043600,84349.000000,84437.000000,84317.000000,84437.000000,0.020941,1768.212104
