unix,open,high,low,close,Volume XRP,Volume BTC,return,log_return,SMA_24,volatility_24
1547683200,0.000091,0.000091,0.000089,0.000090,450762.558257,40.437909,0.011236,0.011173,0.000088,0.023688
1547596800,0.000090,0.000091,0.000090,0.000091,880884.505083,79.887416,0.011111,0.011050,0.000088,0.023676
1547510400,0.000091,0.000091,0.000090,0.000090,467452.497435,42.243682,-0.010989,-0.011050,0.000088,0.023845
1547424000,0.000091,0.000091,0.000090,0.000091,552541.097989,50.104427,0.011111,0.011050,0.000088,0.023835
1547337600,0.000091,0.000092,0.000089,0.000090,493944.347289,44.366081,-0.010989,-0.011050,0.000089,0.023818
1547251200,0.000091,0.000091,0.000090,0.000091,709163.858929,64.321162,0.011111,0.011050,0.000089,0.023808
1547164800,0.000090,0.000092,0.000090,0.000090,932516.260295,84.243519,-0.010989,-0.011050,0.000089,0.023966
1547078400,0.000092,0.000095,0.000089,0.000090,3445348.848628,310.563745,0.000000,0.000000,0.000089,0.023884
1546992000,0.000091,0.000093,0.000090,0.000092,1316302.654815,121.494735,0.022222,0.021979,0.000089,0.023855
1546905600,0.000091,0.000091,0.000090,0.000091,1267217.174876,115.570206,-0.010870,-0.010929,0.000089,0.023991
1546819200,0.000090,0.000093,0.000090,0.000091,1108868.917112,100.474613,0.000000,0.000000,0.000089,0.023896
1546732800,0.000092,0.000093,0.000090,0.000090,873381.570302,78.971162,-0.010989,-0.011050,0.000089,0.022963
1546646400,0.000093,0.000094,0.000092,0.000092,529152.536631,48.941318,0.022222,0.021979,0.000090,0.011283
1546560000,0.000094,0.000094,0.000092,0.000093,813334.942855,75.640150,0.010870,0.010811,0.000090,0.011253
1546473600,0.000096,0.000096,0.000093,0.000094,1973973.834041,185.060047,0.010753,0.010695,0.000090,0.011223
1546387200,0.000095,0.000097,0.000094,0.000096,1268174.882960,121.465790,0.021277,0.021053,0.000091,0.011080
1546300800,0.000094,0.000096,0.000094,0.000095,1678942.950483,159.079845,-0.010417,-0.010471,0.000091,0.011430
1546214400,0.000096,0.000097,0.000093,0.000094,1341248.693679,126.157852,-0.010526,-0.010582,0.000091,0.011757
1546128000,0.000096,0.000096,0.000095,0.000096,687057.442083,65.888809,0.021277,0.021053,0.000091,0.012235
1546041600,0.000096,0.000098,0.000095,0.000096,1771924.932284,170.849002,0.000000,0.000000,0.000092,0.012235
1545955200,0.000094,0.000098,0.000093,0.000096,2042844.424208,196.705490,0.000000,0.000000,0.000092,0.012130
1545868800,0.000098,0.000099,0.000092,0.000093,1117014.761091,104.049925,-0.031250,-0.031749,0.000092,0.013723
1545782400,0.000100,0.000102,0.000096,0.000099,2098422.409276,207.533976,0.064516,0.062520,0.000093,0.018734
1545696000,0.000100,0.000102,0.000097,0.000100,3322155.886109,333.212235,0.010101,0.010050,0.000093,0.018740
1545609600,0.000093,0.000107,0.000091,0.000100,5505042.553696,551.495163,0.000000,0.000000,0.000093,0.018718
1545523200,0.000090,0.000094,0.000090,0.000093,1129389.187072,105.304248,-0.070000,-0.072571,0.000093,0.024048
1545436800,0.000092,0.000093,0.000090,0.000090,905191.248312,81.829289,-0.032258,-0.032790,0.000093,0.024894
1545350400,0.000092,0.000094,0.000091,0.000092,1362224.955733,125.760608,0.022222,0.021979,0.000094,0.025205
1545264000,0.000094,0.000096,0.000091,0.000092,2803136.592759,257.664316,0.000000,0.000000,0.000094,0.025081
1545177600,0.000096,0.000101,0.000094,0.000094,1960665.412711,184.792715,0.021739,0.021506,0.000094,0.025356
1545091200,0.000093,0.000097,0.000093,0.000095,1854243.830866,176.894861,0.010638,0.010582,0.000094,0.025271
1545004800,0.000089,0.000095,0.000084,0.000093,8484896.574172,787.737798,-0.021053,-0.021277,0.000094,0.025725
1544918400,0.000088,0.000090,0.000088,0.000089,1992644.388939,176.368955,-0.043011,-0.043963,0.000094,0.026881
1544832000,0.000089,0.000090,0.000088,0.000089,1462033.982401,129.404628,0.000000,0.000000,0.000094,0.026800
1544745600,0.000091,0.000091,0.000089,0.000089,1548255.043554,138.057902,0.000000,0.000000,0.000094,0.026800
1544659200,0.000089,0.000091,0.000088,0.000091,1678103.860611,151.935524,0.022472,0.022223,0.000094,0.027103
1544572800,0.000089,0.000089,0.000088,0.000088,1745170.350157,154.395221,-0.032967,-0.033523,0.000094,0.027546
1544486400,0.000087,0.000090,0.000087,0.000088,2605896.101401,230.022449,0.000000,0.000000,0.000093,0.027423
1544400000,0.000087,0.000087,0.000085,0.000087,5027850.496560,438.328006,-0.011364,-0.011429,0.000093,0.027349
1544313600,0.000089,0.000089,0.000086,0.000087,2004050.922381,173.811336,0.000000,0.000000,0.000093,0.026874
1544227200,0.000088,0.000092,0.000088,0.000089,1849566.327936,164.481934,0.022989,0.022728,0.000092,0.027374
1544140800,0.000088,0.000090,0.000085,0.000088,5550491.937185,490.274953,-0.011236,-0.011300,0.000092,0.027383
1544054400,0.000090,0.000090,0.000086,0.000088,5324855.885582,469.865283,0.000000,0.000000,0.000092,0.026925
1543968000,0.000089,0.000091,0.000088,0.000090,1681534.335931,151.354906,0.022727,0.022473,0.000092,0.027439
