unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1597276800,2020-08-13 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000025,4858425.627910,121.557809
1597190400,2020-08-12 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000024,3557911.931610,86.813051
1597104000,2020-08-11 00:00:00,XRP/BTC,0.000025,0.000026,0.000024,0.000025,5704805.176762,141.764409
1597017600,2020-08-10 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000025,4092752.240408,101.459328
1596931200,2020-08-09 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000025,1974575.520670,48.693032
1596844800,2020-08-08 00:00:00,XRP/BTC,0.000025,0.000025,0.000025,0.000025,1732736.822616,43.439712
1596758400,2020-08-07 00:00:00,XRP/BTC,0.000026,0.000026,0.000024,0.000025,3667986.593675,93.203539
1596672000,2020-08-06 00:00:00,XRP/BTC,0.000026,0.000026,0.000025,0.000026,4172315.308281,107.604012
1596585600,2020-08-05 00:00:00,XRP/BTC,0.000027,0.000027,0.000026,0.000026,9265685.353977,238.684055
1596499200,2020-08-04 00:00:00,XRP/BTC,0.000028,0.000028,0.000026,0.000027,7204495.018145,193.945006
1596412800,2020-08-03 00:00:00,XRP/BTC,0.000026,0.000028,0.000026,0.000028,10532999.253174,290.921439
1596326400,2020-08-02 00:00:00,XRP/BTC,0.000025,0.000027,0.000024,0.000026,14954153.156497,390.004314
1596240000,2020-08-01 00:00:00,XRP/BTC,0.000023,0.000025,0.000023,0.000025,11444705.565342,282.340886
1596153600,2020-07-31 00:00:00,XRP/BTC,0.000022,0.000023,0.000022,0.000023,6125298.688814,140.330593
1596067200,2020-07-30 00:00:00,XRP/BTC,0.000022,0.000023,0.000021,0.000022,5018632.021028,110.510277
1595980800,2020-07-29 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000022,7178102.349594,157.272222
1595894400,2020-07-28 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000021,5100732.591983,107.676465
1595808000,2020-07-27 00:00:00,XRP/BTC,0.000022,0.000022,0.000020,0.000020,6081132.814518,123.811864
1595721600,2020-07-26 00:00:00,XRP/BTC,0.000022,0.000023,0.000022,0.000022,3301147.150112,71.634893
1595635200,2020-07-25 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000022,2296577.734955,50.823265
1595548800,2020-07-24 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000021,1928082.388471,41.280244
1595462400,2020-07-23 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000022,2620085.736494,56.777258
1595376000,2020-07-22 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000021,1173572.552313,25.102717
1595289600,2020-07-21 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,874853.437040,18.599384
1595203200,2020-07-20 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000021,1846656.414718,39.241449
1595116800,2020-07-19 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000022,1255720.277496,27.161230
1595030400,2020-07-18 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000022,1432364.640099,31.211226
1594944000,2020-07-17 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000021,1563054.169349,33.183640
1594857600,2020-07-16 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,1896119.350928,40.273575
1594771200,2020-07-15 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000021,1074249.202364,23.042645
1594684800,2020-07-14 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000022,1398756.439752,30.101239
1594598400,2020-07-13 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000022,2012059.511031,43.299521
1594512000,2020-07-12 00:00:00,XRP/BTC,0.000022,0.000022,0.000022,0.000022,1141697.554902,24.672084
1594425600,2020-07-11 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000022,2161534.298739,47.207909
1594339200,2020-07-10 00:00:00,XRP/BTC,0.000022,0.000022,0.000021,0.000021,4190003.466008,89.707974
1594252800,2020-07-09 00:00:00,XRP/BTC,0.000022,0.000023,0.000021,0.000022,6513794.952902,142.782385
1594166400,2020-07-08 00:00:00,XRP/BTC,0.000020,0.000022,0.000020,0.000022,7022996.325968,152.750170
1594080000,2020-07-07 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,1869176.661658,37.308766
1593993600,2020-07-06 00:00:00,XRP/BTC,0.000019,0.000020,0.000019,0.000020,1926269.114467,38.891373
1593907200,2020-07-05 00:00:00,XRP/BTC,0.000020,0.000020,0.000019,0.000019,969403.583662,18.893676
1593820800,2020-07-04 00:00:00,XRP/BTC,0.000019,0.000020,0.000019,0.000020,1082104.409518,21.122678
1593734400,2020-07-03 00:00:00,XRP/BTC,0.000019,0.000020,0.000019,0.000019,1554752.090809,30.193286
1593648000,2020-07-02 00:00:00,XRP/BTC,0.000019,0.000019,0.000019,0.000019,1013850.577826,19.486208
1593561600,2020-07-01 00:00:00,XRP/BTC,0.000019,0.000019,0.000019,0.000019,844925.548612,16.180324
1593475200,2020-06-30 00:00:00,XRP/BTC,0.000019,0.000019,0.000019,0.000019,1016147.023926,19.499861
1593388800,2020-06-29 00:00:00,XRP/BTC,0.000019,0.000020,0.000019,0.000019,2019347.892915,39.033995
1593302400,2020-06-28 00:00:00,XRP/BTC,0.000019,0.000020,0.000019,0.000019,1009607.599391,19.626772
1593216000,2020-06-27 00:00:00,XRP/BTC,0.000020,0.000020,0.000019,0.000019,2066906.431260,40.201330
1593129600,2020-06-26 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,2364510.294353,47.290206
1593043200,2020-06-25 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,2078724.558113,40.826150
