unix,open,high,low,close,Volume ETH,Volume USDT
1732795200,3619.700000,3640.300000,3609.200000,3620.400000,8.967833,32467.143969
1732791600,3607.500000,3635.400000,3590.100000,3621.700000,3.637586,13174.246556
1732788000,3592.200000,3612.400000,3592.200000,3606.300000,4.655176,16787.960848
1732784400,3628.500000,3631.100000,3599.600000,3599.600000,45.261902,162924.741575
1732780800,3593.200000,3638.200000,3575.700000,3629.300000,98.297588,356751.434459
1732777200,3595.400000,3605.200000,3589.400000,3589.400000,1.020598,3663.335682
1732773600,3581.400000,3600.500000,3570.500000,3594.100000,51.460575,184954.450990
1732770000,3606.200000,3615.700000,3587.400000,3587.400000,73.811350,264790.836524
1732766400,3600.500000,3613.000000,3586.300000,3604.600000,46.115533,166228.051874
1732762800,3621.200000,3627.600000,3565.300000,3605.200000,151.444601,545988.073795
1732759200,3638.100000,3644.200000,3616.200000,3616.200000,251.944051,911080.078022
1732755600,3643.300000,3645.500000,3618.600000,3639.300000,238.678178,868621.492831
1732752000,3656.800000,3661.300000,3634.700000,3642.900000,64.740835,235844.389097
1732748400,3680.200000,3681.800000,3654.300000,3656.300000,218.504105,798916.560026
1732744800,3634.600000,3673.300000,3634.600000,3666.500000,167.396600,613759.634743
1732741200,3625.700000,3644.500000,3616.600000,3623.100000,114.170918,413652.654600
1732737600,3593.900000,3624.400000,3593.900000,3624.400000,181.986695,659592.578119
1732734000,3585.700000,3609.300000,3573.800000,3589.500000,199.724010,716909.334792
1732730400,3564.800000,3593.100000,3556.000000,3588.100000,66.356513,238093.803829
1732726800,3554.700000,3567.600000,3537.900000,3563.300000,30.766799,109631.333131
1732723200,3559.800000,3571.300000,3540.600000,3546.200000,283.762644,1006279.087266
1732719600,3522.800000,3570.300000,3519.300000,3553.600000,311.258489,1106088.166368
1732716000,3493.500000,3528.900000,3472.600000,3528.900000,129.744691,457856.041376
1732712400,3475.200000,3502.700000,3472.700000,3502.700000,161.122722,564364.559996
1732708800,3459.500000,3482.300000,3442.500000,3481.200000,164.011366,570956.367354
1732705200,3458.200000,3463.600000,3439.400000,3458.500000,6.726551,23263.778294
1732701600,3416.000000,3482.800000,3416.000000,3456.700000,29.683568,102607.189782
1732698000,3421.700000,3421.700000,3403.600000,3405.300000,105.797017,360270.583454
1732694400,3420.600000,3435.500000,3415.100000,3419.100000,37.031840,126615.564247
1732690800,3427.800000,3436.400000,3423.100000,3431.600000,75.245659,258213.002498
1732687200,3400.500000,3445.700000,3400.500000,3424.300000,175.656456,601500.401836
1732683600,3397.700000,3413.800000,3385.800000,3400.200000,173.750687,590787.084441
1732680000,3360.300000,3433.400000,3360.200000,3398.500000,179.212140,609052.456838
1732676400,3364.500000,3368.400000,3351.400000,3361.200000,127.973953,430146.052370
1732672800,3340.800000,3349.000000,3328.900000,3349.000000,0.586671,1964.762485
1732669200,3313.600000,3339.500000,3305.400000,3338.700000,2.066749,6900.254452
1732665600,3325.700000,3343.100000,3311.800000,3313.000000,77.669453,257318.897955
1732662000,3331.800000,3331.800000,3321.600000,3323.900000,60.445754,200915.642153
1732658400,3324.100000,3344.400000,3324.100000,3336.300000,86.116088,287309.104361
1732654800,3324.000000,3330.200000,3305.100000,3324.900000,92.800084,308550.997762
1732651200,3302.500000,3330.600000,3294.100000,3329.100000,215.527847,717513.757079
1732647600,3280.900000,3300.000000,3265.700000,3288.200000,102.463584,336920.755889
1732644000,3321.600000,3321.600000,3253.500000,3283.800000,126.602705,415737.963007
1732640400,3335.300000,3335.300000,3316.600000,3331.600000,35.724956,119021.261844
1732636800,3298.400000,3337.500000,3298.400000,3329.900000,45.177063,150435.103582
1732633200,3343.400000,3349.200000,3301.700000,3301.700000,63.028019,208099.610596
1732629600,3304.500000,3362.000000,3293.200000,3353.400000,97.161916,325822.767471
1732626000,3310.800000,3335.000000,3302.100000,3312.400000,152.986922,506753.880598
1732622400,3322.100000,3338.400000,3300.900000,3313.400000,226.600626,750818.515779
1732618800,3318.300000,3329.600000,3283.100000,3327.000000,291.131257,968593.691606
1732615200,3353.100000,3357.300000,3315.900000,3320.800000,213.575957,709243.039168
1732611600,3375.700000,3392.800000,3352.400000,3358.600000,5.454711,18320.190752
1732608000,3391.700000,3394.000000,3351.800000,3360.000000,28.205330,94769.907893
1732604400,3422.400000,3422.400000,3383.600000,3394.200000,14.921949,50648.078821
1732600800,3428.100000,3442.500000,3421.600000,3423.500000,0.477001,1633.013642
1732597200,3427.800000,3427.800000,3427.800000,3427.800000,0.024171,82.854005
1732593600,3434.000000,3439.800000,3426.300000,3430.100000,0.330123,1132.354285
1732590000,3443.700000,3445.300000,3423.500000,3444.600000,1.001607,3450.137057
1732586400,3443.700000,3449.300000,3435.700000,3444.500000,2.003788,6902.046044
1732582800,3431.500000,3454.200000,3431.500000,3454.200000,0.874820,3021.801690
1732579200,3412.600000,3448.200000,3401.000000,3436.500000,7.663357,26335.125712
1732575600,3450.000000,3460.000000,3413.200000,3413.200000,39.171134,133698.915695
1732572000,3439.100000,3439.100000,3372.800000,3431.400000,33.293880,114244.620930
1732568400,3494.300000,3499.400000,3420.000000,3434.300000,12.833111,44072.753107
1732564800,3477.900000,3481.100000,3477.900000,3481.100000,0.233604,813.199720
1732561200,3435.400000,3471.300000,3432.000000,3465.200000,4.413223,15292.700132
1732557600,3450.900000,3480.100000,3437.900000,3446.700000,1.812951,6248.698246
1732554000,3477.100000,3477.100000,3427.600000,3454.700000,8.481287,29300.301681
1732550400,3515.700000,3546.400000,3460.500000,3489.600000,68.911849,240474.789457
1732546800,3412.000000,3533.700000,3354.000000,3522.200000,193.096620,680124.916267
1732543200,3475.300000,3515.200000,3411.900000,3411.900000,45.732612,156035.100213
1732539600,3461.500000,3488.000000,3449.300000,3487.900000,11.106694,38739.037549
1732536000,3472.200000,3491.600000,3472.200000,3491.600000,6.033743,21067.416326
1732532400,3501.300000,3502.000000,3457.400000,3472.200000,10.583055,36746.484682
1732528800,3473.400000,3522.800000,3471.100000,3500.600000,27.003619,94528.869897
1732525200,3412.200000,3479.000000,3412.200000,3468.900000,25.234693,87536.625854
1732521600,3411.200000,3414.300000,3406.000000,3406.000000,4.089717,13929.575114
1732518000,3379.300000,3423.200000,3376.800000,3407.000000,1.804267,6147.136647
1732514400,3377.500000,3387.200000,3377.500000,3380.800000,1.932407,6533.081383
1732510800,3382.500000,3386.000000,3382.500000,3385.200000,3.276190,11090.556932
1732507200,3362.300000,3386.200000,3361.600000,3370.100000,30.409908,102484.430378
1732503600,3342.400000,3365.400000,3341.800000,3363.400000,1.655183,5567.043309
1732500000,3333.600000,3345.700000,3333.600000,3341.000000,2.343258,7828.826481
1732496400,3351.000000,3351.000000,3306.500000,3322.700000,7.892158,26223.274151
1732492800,3348.000000,3364.200000,3336.900000,3349.500000,3.707789,12419.237648
1732489200,3358.800000,3367.600000,3353.500000,3355.900000,4.115913,13812.591497
1732485600,3345.600000,3361.900000,3345.100000,3356.400000,3.524314,11829.008718
1732482000,3334.000000,3343.600000,3331.800000,3341.600000,9.532397,31853.457347
1732478400,3330.300000,3340.700000,3330.300000,3339.800000,2.821270,9422.476310
1732474800,3325.600000,3328.200000,3312.000000,3328.200000,3.812322,12688.171012
1732471200,3309.800000,3331.200000,3309.800000,3326.900000,17.303566,57567.234757
1732467600,3317.700000,3318.100000,3300.400000,3306.200000,1.208685,3996.155438
1732464000,3289.200000,3326.700000,3288.300000,3320.800000,7.345215,24391.989574
1732460400,3317.900000,3318.400000,3294.300000,3298.900000,15.099963,49813.267875
1732456800,3316.600000,3327.400000,3291.400000,3325.700000,11.468292,38140.098704
1732453200,3309.000000,3339.700000,3306.500000,3338.500000,19.661739,65640.715051
1732449600,3344.700000,3355.600000,3281.100000,3314.500000,50.825904,168462.459637
1732446000,3372.600000,3372.600000,3340.700000,3344.300000,15.004063,50178.088459
1732442400,3402.700000,3403.200000,3363.300000,3376.700000,24.167063,81604.922746
1732438800,3404.100000,3406.200000,3387.400000,3403.500000,2.686725,9144.269388
1732435200,3424.500000,3425.400000,3392.800000,3392.800000,2.315514,7856.075255
1732431600,3423.000000,3426.700000,3410.500000,3423.400000,5.079465,17389.042158
1732428000,3412.300000,3428.700000,3400.200000,3422.000000,3.713963,12709.181626
1732424400,3412.500000,3420.600000,3399.000000,3414.100000,3.338027,11396.359585
1732420800,3429.600000,3431.500000,3402.900000,3414.300000,3.859784,13178.461638
1732417200,3427.500000,3430.100000,3418.300000,3426.700000,1.839476,6303.334020
1732413600,3434.900000,3447.000000,3432.800000,3433.000000,2.060454,7073.540196
1732410000,3417.700000,3437.500000,3414.800000,3435.700000,4.607000,15828.269350
1732406400,3393.500000,3426.500000,3393.300000,3416.100000,7.315035,24988.890209
1732402800,3396.900000,3396.900000,3383.200000,3387.700000,0.454936,1541.185434
1732399200,3416.500000,3419.500000,3406.600000,3410.800000,8.031187,27392.771323
1732395600,3403.900000,3427.600000,3403.900000,3418.000000,1.357205,4638.926690
1732392000,3396.500000,3406.300000,3378.300000,3406.300000,1.331286,4534.758752
1732388400,3422.300000,3422.300000,3404.400000,3404.400000,1.217862,4146.089291
1732384800,3417.600000,3430.300000,3407.900000,3422.800000,20.352942,69664.049398
1732381200,3411.200000,3434.200000,3390.200000,3425.300000,23.914565,81914.558467
1732377600,3461.800000,3469.200000,3375.200000,3416.100000,72.762501,248563.979393
1732374000,3480.200000,3480.200000,3450.100000,3461.400000,6.541112,22641.406565
1732370400,3441.700000,3494.700000,3440.000000,3472.700000,33.977091,117992.242353
1732366800,3395.900000,3442.100000,3395.900000,3442.100000,5.106278,17576.319125
1732363200,3351.700000,3418.500000,3351.700000,3401.500000,14.008119,47648.616710
1732359600,3350.100000,3364.200000,3348.800000,3357.400000,4.688437,15740.959794
1732356000,3361.700000,3366.600000,3343.900000,3350.600000,5.042892,16896.713768
1732352400,3367.900000,3370.900000,3344.500000,3360.500000,13.565879,45588.135573
1732348800,3339.500000,3396.500000,3339.500000,3368.600000,19.433616,65464.077780
1732345200,3349.700000,3351.100000,3336.400000,3345.700000,1.622966,5429.956677
1732341600,3346.500000,3351.600000,3343.200000,3348.300000,0.853022,2856.174735
1732338000,3355.300000,3356.400000,3335.400000,3348.500000,9.942665,33293.012447
1732334400,3344.000000,3356.100000,3327.800000,3335.100000,25.068043,83604.429309
1732330800,3327.300000,3341.000000,3324.800000,3335.700000,2.821222,9410.751193
1732327200,3346.700000,3346.700000,3315.400000,3322.300000,7.811615,25952.528315
1732323600,3343.600000,3357.200000,3322.000000,3335.900000,4.396155,14665.132597
1732320000,3327.700000,3361.200000,3319.700000,3354.800000,1.835737,6158.530890
1732316400,3315.200000,3327.100000,3312.300000,3327.100000,1.618704,5385.588581
1732312800,3313.200000,3321.100000,3304.300000,3314.400000,4.415195,14633.721148
1732309200,3289.800000,3316.800000,3283.600000,3315.800000,5.562144,18442.956644
1732305600,3277.900000,3293.000000,3277.700000,3293.000000,16.008057,52714.531767
1732302000,3287.700000,3297.100000,3269.100000,3279.600000,5.349900,17545.531450
1732298400,3299.400000,3304.500000,3266.500000,3278.600000,2.451485,8037.438688
1732294800,3309.600000,3319.100000,3294.200000,3294.200000,6.285869,20706.908177
1732291200,3304.900000,3310.900000,3301.900000,3310.900000,3.378110,11184.584333
1732287600,3286.400000,3324.000000,3286.400000,3313.500000,30.000360,99406.193423
1732284000,3298.900000,3311.500000,3281.300000,3290.600000,31.716668,104366.867951
1732280400,3343.100000,3345.000000,3257.500000,3292.500000,14.026169,46181.160017
1732276800,3343.000000,3355.200000,3331.300000,3351.500000,5.527721,18526.157099
1732273200,3311.600000,3344.700000,3311.500000,3344.700000,6.052891,20245.103123
1732269600,3360.400000,3360.400000,3322.000000,3322.000000,5.506203,18291.605369
1732266000,3369.100000,3377.400000,3351.400000,3358.400000,2.132057,7160.299053
1732262400,3366.200000,3380.800000,3366.200000,3377.200000,8.880077,29989.795470
1732258800,3367.100000,3382.200000,3359.900000,3359.900000,8.694939,29214.125546
1732255200,3376.900000,3376.900000,3355.300000,3370.100000,2.434389,8204.134841
1732251600,3389.500000,3396.400000,3378.200000,3384.000000,3.250721,11000.439086
1732248000,3366.100000,3424.600000,3360.600000,3392.200000,28.737756,97484.215021
1732244400,3323.100000,3375.300000,3321.300000,3374.000000,27.959348,94334.838600
1732240800,3321.200000,3341.100000,3321.200000,3332.100000,11.596262,38639.903544
1732237200,3318.000000,3326.300000,3305.200000,3322.000000,1.543842,5128.641961
1732233600,3359.600000,3369.900000,3323.800000,3323.900000,2.026077,6734.477806
1732230000,3366.300000,3368.500000,3357.800000,3367.800000,1.801071,6065.648564
1732226400,3371.100000,3374.900000,3364.900000,3374.900000,0.080324,271.087155
1732222800,3348.300000,3356.600000,3337.200000,3345.000000,1.876310,6276.257719
1732219200,3356.200000,3357.400000,3335.700000,3355.400000,3.474406,11658.021691
1732215600,3374.200000,3382.300000,3344.300000,3344.800000,21.479092,71843.265885
1732212000,3350.900000,3379.100000,3342.700000,3379.100000,22.295569,75338.956633
1732208400,3315.500000,3349.300000,3314.000000,3349.300000,14.763344,49446.867758
1732204800,3282.100000,3339.500000,3280.700000,3328.300000,7.494167,24942.837025
1732201200,3344.300000,3344.300000,3239.200000,3262.200000,39.935255,130276.788665
1732197600,3347.400000,3366.500000,3313.200000,3343.700000,32.931451,110112.891940
1732194000,3287.600000,3362.700000,3287.600000,3346.300000,37.339424,124948.914732
1732190400,3147.400000,3315.200000,3147.400000,3291.300000,39.969988,131553.220221
1732186800,3138.200000,3150.000000,3132.200000,3148.900000,8.819197,27770.769465
1732183200,3135.100000,3135.800000,3119.000000,3132.300000,2.009945,6295.752133
1732179600,3141.500000,3141.500000,3121.500000,3124.900000,2.603659,8136.174603
1732176000,3139.400000,3144.300000,3131.000000,3144.100000,4.616055,14513.338148
1732172400,3124.200000,3140.500000,3124.200000,3140.100000,3.217853,10104.379923
1732168800,3104.100000,3124.400000,3103.500000,3124.400000,26.438206,82603.531233
1732165200,3129.300000,3142.600000,3099.000000,3104.600000,25.783231,80046.619584
1732161600,3082.700000,3133.900000,3082.700000,3122.800000,57.514301,179605.658975
1732158000,3063.600000,3099.500000,3063.600000,3086.000000,11.154452,34422.639057
1732154400,3079.900000,3079.900000,3035.300000,3055.700000,2.546960,7782.744480
1732150800,3080.000000,3097.200000,3079.700000,3080.200000,2.459591,7576.031213
1732147200,3069.000000,3090.500000,3069.000000,3087.800000,0.784672,2422.908966
1732143600,3073.200000,3073.200000,3067.200000,3070.000000,0.694319,2131.560251
1732140000,3078.500000,3078.500000,3069.000000,3072.000000,0.309663,951.283415
1732136400,3072.600000,3080.500000,3070.000000,3080.500000,4.683955,14428.924271
1732132800,3049.500000,3079.000000,3043.800000,3070.900000,2.557418,7853.575735
1732129200,3040.500000,3062.300000,3035.900000,3062.100000,8.949029,27402.821180
1732125600,3064.000000,3076.000000,3041.600000,3049.800000,26.980557,82285.303501
1732122000,3093.400000,3093.400000,3063.900000,3063.900000,2.373389,7271.825485
1732118400,3129.400000,3130.000000,3082.500000,3093.200000,79.992879,247433.973199
1732114800,3118.600000,3123.300000,3093.100000,3123.300000,36.208644,113090.456306
1732111200,3117.600000,3151.100000,3104.000000,3118.300000,79.974334,249383.964465
1732107600,3099.300000,3114.300000,3099.300000,3108.800000,2.153268,6694.078719
1732104000,3087.800000,3094.400000,3083.800000,3090.700000,7.972459,24640.478228
1732100400,3106.600000,3106.600000,3086.900000,3100.800000,4.060211,12589.901680
1732096800,3118.400000,3119.800000,3110.300000,3110.300000,5.417562,16850.244488
1732093200,3123.000000,3132.800000,3118.800000,3119.500000,1.056746,3296.519365
1732089600,3112.500000,3127.700000,3111.000000,3120.800000,0.908841,2836.310369
1732086000,3103.000000,3113.500000,3100.200000,3109.900000,2.234682,6949.637552
1732082400,3107.900000,3113.600000,3105.100000,3105.900000,1.298015,4031.504757
1732078800,3098.500000,3112.500000,3098.500000,3108.800000,0.639225,1987.223924
1732075200,3095.700000,3101.700000,3089.700000,3099.000000,1.630301,5052.304101
1732071600,3079.700000,3094.200000,3070.600000,3093.000000,3.574248,11055.150456
1732068000,3093.000000,3102.800000,3084.200000,3085.000000,1.347434,4156.834569
1732064400,3118.900000,3122.200000,3098.000000,3098.000000,1.525765,4726.820868
1732060800,3102.900000,3107.800000,3102.900000,3107.800000,0.409700,1273.265660
1732057200,3087.700000,3112.800000,3087.700000,3108.300000,3.402614,10576.343697
1732053600,3071.000000,3091.300000,3071.000000,3091.300000,0.212298,656.276684
1732050000,3100.000000,3100.000000,3074.300000,3089.600000,3.059617,9452.991602
1732046400,3125.700000,3125.700000,3087.900000,3090.900000,9.406401,29074.243305
1732042800,3144.000000,3144.000000,3117.700000,3122.200000,9.198976,28721.041712
1732039200,3124.400000,3140.700000,3120.600000,3140.700000,7.270367,22834.042077
1732035600,3106.900000,3126.300000,3106.900000,3116.200000,1.068470,3329.564874
1732032000,3104.100000,3114.200000,3104.100000,3110.700000,3.127339,9728.214920
1732028400,3106.200000,3106.600000,3089.500000,3101.500000,3.826875,11869.053185
1732024800,3083.300000,3117.200000,3079.500000,3095.600000,2.883191,8925.205657
1732021200,3133.600000,3134.400000,3080.500000,3080.500000,9.579651,29510.115460
1732017600,3134.500000,3149.500000,3134.500000,3144.600000,1.623174,5104.233432
