unix,open,high,low,close,Volume UNI,Volume USD
1673665200,6.721800,6.721800,6.689090,6.696470,193.181722,1293.635609
1673661600,6.768720,6.799320,6.686800,6.725870,3836.832753,25806.038309
1673658000,6.460200,6.711800,6.460200,6.689600,3363.744658,22502.106267
1673654400,6.317770,6.526490,6.317770,6.471300,8516.571233,55113.287418
1673650800,6.289950,6.299250,6.277060,6.297310,325.575511,2050.249919
1673647200,6.330700,6.330700,6.330700,6.330700,0.000000,0.000000
1673643600,6.195680,6.360130,6.163630,6.330700,1817.622442,11506.822391
1673640000,6.162360,6.198510,6.162360,6.198510,33.481749,207.536953
1673636400,6.110870,6.110870,6.110870,6.110870,0.000000,0.000000
1673632800,6.110870,6.110870,6.110870,6.110870,0.000000,0.000000
1673629200,6.080950,6.120300,6.080950,6.110870,111.775971,683.048426
1673625600,6.105000,6.105000,6.105000,6.105000,0.000000,0.000000
1673622000,6.061990,6.105000,6.050920,6.105000,1683.447314,10277.445852
1673618400,6.040260,6.055050,6.021630,6.055050,814.990693,4934.809396
1673614800,6.051900,6.051900,6.051900,6.051900,32.450000,196.384155
1673611200,6.058740,6.058740,6.058660,6.058660,22.618804,137.039641
1673607600,6.114240,6.114240,6.099420,6.099420,71.894881,438.517077
1673604000,6.143820,6.143820,6.143820,6.143820,81.382593,500.000000
1673600400,6.101370,6.132750,6.095170,6.132750,653.372468,4006.970000
1673596800,6.080890,6.080890,6.080890,6.080890,0.000000,0.000000
1673593200,6.080890,6.080890,6.080890,6.080890,39.996394,243.213672
1673589600,6.123340,6.123340,6.123340,6.123340,0.000000,0.000000
1673586000,6.123340,6.123340,6.123340,6.123340,0.000000,0.000000
1673582400,6.123340,6.123340,6.123340,6.123340,0.000000,0.000000
1673578800,6.123340,6.123340,6.123340,6.123340,2.827000,17.310682
1673575200,6.092050,6.092050,6.092050,6.092050,0.000000,0.000000
1673571600,6.092060,6.092060,6.092050,6.092050,112.500000,685.355625
1673568000,6.192210,6.200000,6.071290,6.071290,93.649308,568.572105
1673564400,6.171140,6.171140,6.171140,6.171140,7.148250,44.112851
1673560800,6.096080,6.096080,6.096080,6.096080,0.000000,0.000000
1673557200,6.096080,6.096080,6.096080,6.096080,0.000000,0.000000
1673553600,6.096080,6.096080,6.096080,6.096080,0.000000,0.000000
1673550000,6.095680,6.114180,6.095680,6.096080,237.645453,1448.705694
1673546400,6.106940,6.106940,6.106940,6.106940,0.000000,0.000000
1673542800,6.009200,6.106940,6.009200,6.106940,43.457832,265.394373
1673539200,5.980270,6.021880,5.980240,5.980240,922.109877,5514.438369
1673535600,5.980230,5.980230,5.980230,5.980230,0.000000,0.000000
1673532000,6.126860,6.180930,5.980230,5.980230,1298.370828,7764.556179
1673528400,6.152200,6.152200,6.141800,6.141800,407.105560,2500.360928
1673524800,6.000150,6.000150,6.000150,6.000150,0.000000,0.000000
1673521200,6.000150,6.000150,6.000150,6.000150,0.000000,0.000000
1673517600,6.016610,6.016610,6.000150,6.000150,33.308800,199.857796
1673514000,5.992910,5.992910,5.992910,5.992910,17.466500,104.675163
1673510400,6.063640,6.063640,6.025860,6.025860,1330.163970,8015.381860
1673506800,6.003770,6.025490,5.997440,6.025490,698.763621,4210.393212
1673503200,5.951330,5.954900,5.938230,5.938230,1022.540110,6072.078357
1673499600,5.994790,5.994790,5.940490,5.940490,1984.816070,11790.780016
1673496000,6.000210,6.005590,5.995430,5.995430,1071.510650,6424.167096
1673492400,5.998110,5.998110,5.998110,5.998110,6.871335,41.215025
1673488800,6.016440,6.016440,5.982060,5.982060,408.986394,2446.581145
1673485200,5.956090,5.956090,5.956090,5.956090,148.229907,882.870665
1673481600,5.907240,5.991120,5.874460,5.991120,910.495307,5454.886646
1673478000,5.877210,5.951560,5.869820,5.921080,2021.233958,11967.887964
1673474400,5.761300,5.761300,5.761300,5.761300,8.691619,50.075026
1673470800,5.616990,5.616990,5.616990,5.616990,0.000000,0.000000
1673467200,5.616990,5.616990,5.616990,5.616990,0.000000,0.000000
1673463600,5.616990,5.616990,5.616990,5.616990,0.000000,0.000000
1673460000,5.616990,5.616990,5.616990,5.616990,0.000000,0.000000
1673456400,5.612070,5.616990,5.612070,5.616990,305.994525,1718.768187
1673452800,5.620220,5.636690,5.613630,5.636690,2195.673242,12376.329408
1673449200,5.687510,5.692650,5.613720,5.625190,2196.619700,12356.403170
1673445600,5.666130,5.697340,5.661260,5.697340,2334.609154,13301.062118
1673442000,5.728520,5.735070,5.690790,5.690790,1028.464986,5852.778260
1673438400,5.728490,5.728490,5.721950,5.721950,1007.556830,5765.189803
1673434800,5.744920,5.761320,5.744920,5.761320,24.010252,138.330742
1673431200,5.758020,5.758020,5.758020,5.758020,7.574820,43.615965
1673427600,5.753110,5.753110,5.753110,5.753110,2.905993,16.718498
1673424000,5.718680,5.718680,5.718680,5.718680,8.410500,48.096958
1673420400,5.743280,5.743280,5.743280,5.743280,52.234960,300.000000
1673416800,5.708670,5.708670,5.708670,5.708670,0.000000,0.000000
1673413200,5.708670,5.708670,5.708670,5.708670,3.653270,20.855310
1673409600,5.658270,5.658270,5.658270,5.658270,0.000000,0.000000
1673406000,5.658000,5.658270,5.658000,5.658270,138.291942,782.493146
1673402400,5.766240,5.766240,5.766240,5.766240,0.000000,0.000000
1673398800,5.772800,5.772800,5.766240,5.766240,19.857296,114.501933
1673395200,5.811360,5.811360,5.811360,5.811360,7.475471,43.442650
1673391600,5.784650,5.784650,5.784650,5.784650,5.779707,33.433585
1673388000,5.806560,5.806560,5.806560,5.806560,0.000000,0.000000
1673384400,5.806560,5.806560,5.806560,5.806560,43.100000,250.262736
1673380800,5.771160,5.771160,5.771160,5.771160,0.000000,0.000000
1673377200,5.771150,5.771160,5.771150,5.771160,300.000000,1731.348000
1673373600,5.728520,5.779360,5.728520,5.779360,158.091579,913.668151
1673370000,5.705590,5.705590,5.705590,5.705590,0.000000,0.000000
1673366400,5.726880,5.743280,5.705590,5.705590,95.139692,542.828077
1673362800,5.735070,5.735070,5.735070,5.735070,19.197633,110.099769
1673359200,5.690930,5.690930,5.690930,5.690930,0.000000,0.000000
1673355600,5.690930,5.690930,5.690930,5.690930,3.625600,20.633036
1673352000,5.710480,5.713760,5.710480,5.713760,424.620130,2426.177512
1673348400,5.760990,5.760990,5.760990,5.760990,0.000000,0.000000
1673344800,5.760990,5.760990,5.760990,5.760990,20.304194,116.972261
1673341200,5.758180,5.758180,5.758180,5.758180,0.000000,0.000000
1673337600,5.752160,5.758180,5.750120,5.758180,361.893996,2083.850771
1673334000,5.816540,5.816540,5.816540,5.816540,0.000000,0.000000
1673330400,5.816540,5.816540,5.816540,5.816540,0.000000,0.000000
1673326800,5.816540,5.816540,5.816540,5.816540,7.645678,44.471393
1673323200,5.805630,5.805630,5.805630,5.805630,3.860719,22.413905
1673319600,5.782310,5.782310,5.782310,5.782310,7.683461,44.428154
1673316000,5.854420,5.854420,5.854420,5.854420,0.000000,0.000000
1673312400,5.854420,5.854420,5.854420,5.854420,341.794744,2001.009987
1673308800,5.772480,5.772480,5.772480,5.772480,0.000000,0.000000
1673305200,5.772480,5.772480,5.772480,5.772480,0.000000,0.000000
1673301600,5.772480,5.772480,5.772480,5.772480,0.000000,0.000000
1673298000,5.772480,5.772480,5.772480,5.772480,2.000000,11.544960
1673294400,5.792280,5.811960,5.766550,5.766550,393.891200,2271.393299
