unix,open,high,low,close,Volume UNI,Volume USD,return,log_return,SMA_24,volatility_24
1709683200,13.197800,17.023790,12.653580,15.397160,75642.026417,1164672.383463,0.031926,0.031427,13.010541,0.047204
1709683200,13.237500,16.971600,12.559000,15.310800,23858.399425,365291.181916,0.024854,0.024550,13.019967,0.046703
1709596800,12.477450,14.055420,11.000090,13.225980,98659.917762,1304874.099125,-0.141012,-0.152000,13.033530,0.056320
1709596800,12.356900,14.092400,11.178800,13.237500,26081.364241,345252.059140,-0.135414,-0.145505,13.043717,0.055267
1709510400,12.619490,12.974220,12.103510,12.488920,28021.762828,349961.554217,-0.055728,-0.057341,13.022025,0.057583
1709510400,12.608000,13.060000,12.096200,12.356900,11390.443532,140750.571681,-0.066523,-0.068839,13.026917,0.057062
1709424000,12.613650,13.174710,11.456510,12.660530,23872.604541,302239.825970,0.013741,0.013647,13.040463,0.056876
1709424000,12.646800,13.237500,11.538100,12.608000,15549.773082,196051.539018,0.020321,0.020117,13.043067,0.056460
1709337600,11.534270,13.470000,11.331950,12.586250,58652.084620,738209.800046,-0.005867,-0.005884,13.035493,0.056352
1709337600,11.600000,13.499900,11.348900,12.646800,17657.736331,223313.859831,0.003077,0.003073,13.040846,0.055926
1709251200,11.132300,12.013780,10.859420,11.628000,48030.724536,558501.264899,-0.076135,-0.079189,12.998875,0.058450
1709251200,11.120000,12.024000,10.840500,11.600000,21036.851861,244027.481588,-0.082772,-0.086399,13.007917,0.058314
1709164800,10.950050,11.991250,10.744330,11.132300,65756.142028,732017.099902,-0.042630,-0.043565,12.962786,0.058509
1709164800,10.965700,11.945500,10.643600,11.120000,11094.157778,123367.034491,-0.041379,-0.042260,12.971738,0.058551
1709078400,10.931970,11.169940,9.750000,10.950110,35013.605601,383402.832826,-0.016366,-0.016501,12.934856,0.058252
1709078400,10.852300,12.000000,10.365300,10.965700,15473.863844,169681.748754,-0.013876,-0.013973,12.944237,0.058295
1708992000,10.610990,11.200440,10.431860,10.873000,24926.889716,271030.071877,-0.007042,-0.007067,12.906237,0.058259
1708992000,10.625800,11.201100,10.504100,10.852300,7421.539131,80540.769111,-0.010341,-0.010395,12.904092,0.058209
1708905600,11.033980,11.510580,10.400000,10.624000,89206.182386,947726.481672,-0.022901,-0.023167,12.841677,0.057255
1708905600,11.148300,11.557400,10.427200,10.625800,8545.139682,90798.945233,-0.020871,-0.021092,12.839025,0.057885
1708819200,11.282010,11.540510,10.185000,11.141340,43526.767556,484946.516441,0.048695,0.047547,12.808895,0.058131
1708819200,11.237900,11.622300,10.169200,11.148300,9129.839053,101782.184715,0.049173,0.048002,12.805058,0.058794
1708732800,11.332010,12.775010,10.960000,11.162030,98409.797207,1098453.108722,0.001857,0.001855,12.830230,0.053572
1708732800,11.419400,12.821500,10.938200,11.237900,14337.558066,161124.043790,0.008037,0.008005,12.831637,0.053675
1708646400,7.376740,12.527980,7.072360,11.347940,133467.297150,1514578.880024,0.016656,0.016518,12.808707,0.048248
1708646400,7.429800,12.631200,7.050000,11.419400,49643.559734,566899.666026,0.016151,0.016022,12.812433,0.047678
1708560000,7.369330,7.500000,7.322010,7.425000,890.051022,6608.628841,-0.345696,-0.424184,12.598858,0.084294
1708560000,7.416700,7.520000,7.279100,7.429800,3380.778512,25118.508188,-0.349370,-0.429815,12.604475,0.084793
1708473600,7.534230,7.534230,7.113000,7.351050,2839.235897,20871.365043,-0.009960,-0.010010,12.403644,0.084227
1708473600,7.571800,7.571800,7.074200,7.416700,8375.072205,62115.398023,-0.001763,-0.001765,12.409762,0.084821
1708387200,7.615000,7.720110,7.000650,7.554760,1470.412148,11108.610879,0.027712,0.027335,12.176693,0.082274
1708387200,7.698400,7.698400,7.264200,7.571800,4449.156003,33688.119424,0.020912,0.020697,12.180942,0.082720
1708300800,7.638010,7.764000,7.544000,7.727980,3699.277541,28587.942848,0.022929,0.022670,11.917339,0.080464
1708300800,7.642500,7.782300,7.524100,7.698400,1939.560449,14931.512161,0.016720,0.016582,11.923054,0.081262
1708214400,7.885000,7.960000,7.595010,7.659000,3882.929452,29739.356676,-0.008926,-0.008966,11.644763,0.080096
1708214400,7.760000,7.985300,7.445300,7.642500,2862.317957,21875.264986,-0.007261,-0.007288,11.644892,0.080583
1708128000,7.481000,7.801000,7.444010,7.698910,12915.030215,99431.655270,0.005211,0.005197,11.380058,0.080254
1708128000,7.429000,7.795100,7.323200,7.760000,9623.970449,74682.010684,0.015375,0.015258,11.380250,0.080933
1708041600,7.550070,7.665040,7.350000,7.401380,21217.430713,157038.267331,-0.038646,-0.039412,11.086790,0.079649
1708041600,7.515500,7.685200,7.235600,7.429000,16955.861218,125965.092989,-0.042655,-0.043591,11.087467,0.080464
1707955200,6.938000,7.525800,6.928000,7.525800,20557.852529,154714.286560,0.016810,0.016671,10.808361,0.080067
1707955200,6.898300,7.530000,6.833700,7.515500,38142.832905,286662.460698,0.011644,0.011576,10.808787,0.080777
1707868800,6.664000,6.906990,6.662970,6.893000,1052.619005,7255.702802,-0.084084,-0.087831,10.502637,0.080861
1707868800,6.682800,6.966000,6.650100,6.898300,3458.066108,23854.777433,-0.082124,-0.085693,10.502029,0.081469
1707782400,6.805850,6.805850,6.591080,6.680690,1833.431225,12248.585649,-0.030801,-0.031285,10.168997,0.079911
1707782400,6.834000,6.883400,6.575800,6.682800,14065.426955,93996.435255,-0.031240,-0.031738,10.171404,0.080746
1707696000,6.637000,6.847990,6.492330,6.812880,3228.814747,21997.527411,0.019787,0.019594,9.831167,0.080011
1707696000,6.680900,6.857600,6.492600,6.834000,3308.257072,22608.628830,0.022625,0.022373,9.833675,0.080763
1707609600,6.607000,6.807560,6.601000,6.726010,3131.216427,21060.592998,-0.012751,-0.012833,9.469869,0.079061
1707609600,6.636000,6.819600,6.556500,6.680900,2162.715633,14448.886873,-0.022403,-0.022657,9.474096,0.079985
1707523200,6.661990,6.714000,6.610000,6.656990,619.757927,4125.722325,-0.010262,-0.010315,9.196161,0.075520
1707523200,6.773100,6.773200,6.550000,6.636000,4703.390999,31211.702669,-0.006721,-0.006743,9.199033,0.076876
1707436800,6.376000,6.656000,6.376000,6.656000,2705.475212,18007.643014,-0.000149,-0.000149,8.953123,0.075381
1707436800,6.328200,6.773200,6.324500,6.773100,5100.733569,34547.778536,0.020660,0.020450,8.966375,0.076879
1707350400,6.398000,6.421000,6.322000,6.322010,784.864299,4961.919945,-0.050179,-0.051482,8.689018,0.075176
1707350400,6.386100,6.542700,6.316000,6.328200,2061.111364,13043.124934,-0.065686,-0.067943,8.704717,0.076865
1707264000,6.322980,6.463450,6.255000,6.399000,2722.230205,17419.551084,0.012178,0.012105,8.431216,0.075467
1707264000,6.281000,6.519600,6.170800,6.386100,4116.226465,26286.633828,0.009150,0.009108,8.443854,0.076971
1707177600,6.128990,6.408000,6.122990,6.269250,8309.946353,52097.131174,-0.020277,-0.020485,8.207935,0.074657
1707177600,5.963700,6.600000,5.963700,6.281000,3272.727924,20556.004091,-0.016458,-0.016595,8.222229,0.075972
1707091200,5.984000,6.095450,5.928020,6.005990,2585.674530,15529.535368,-0.041992,-0.042899,7.994338,0.074650
1707091200,6.054800,6.300000,5.920900,5.963700,2742.770655,16357.061355,-0.050517,-0.051838,8.007383,0.076097
1707004800,6.101070,6.124110,5.968000,5.968000,2026.089522,12091.702266,-0.006325,-0.006345,7.786750,0.074711
1707004800,6.113900,6.196300,5.979600,6.054800,1526.767207,9244.270085,0.015276,0.015160,7.802763,0.076466
1706918400,6.149990,6.230340,6.099000,6.114430,1638.042374,10015.695434,0.024536,0.024240,7.588477,0.075254
1706918400,6.252200,6.315200,6.069900,6.113900,12767.548611,78059.515453,0.009761,0.009714,7.605329,0.076697
1706832000,6.044000,6.226990,6.044000,6.146000,6495.930726,39923.990239,0.005163,0.005150,7.401893,0.075430
1706832000,6.042600,6.275500,6.042600,6.252200,3290.931085,20575.559330,0.022621,0.022369,7.423096,0.077189
1706745600,6.001000,6.069580,5.928000,6.049000,17642.779414,106721.172676,-0.015783,-0.015908,7.189712,0.074045
1706745600,6.015600,6.104700,5.866300,6.042600,2627.135292,15874.727715,-0.033524,-0.034099,7.210358,0.075883
1706659200,6.269000,6.288000,5.968000,6.009000,16354.584716,98274.699558,-0.006613,-0.006635,6.975003,0.073948
1706659200,6.249200,6.321600,5.953700,6.015600,1617.182798,9728.324840,-0.004468,-0.004478,6.992763,0.075713
1706572800,6.141010,6.313280,6.129000,6.270980,38163.598729,239323.164357,0.043598,0.042674,6.763463,0.074763
1706572800,6.116500,6.349500,6.116500,6.249200,3007.111525,18792.041342,0.038832,0.038097,6.777338,0.076351
1706486400,5.941910,6.149110,5.892000,6.149000,46192.981422,284040.642765,-0.019452,-0.019643,6.710296,0.028522
1706486400,5.946400,6.116500,5.879300,6.116500,2213.408322,13538.312002,-0.021235,-0.021463,6.722617,0.030890
1706400000,5.951010,5.973500,5.895130,5.916320,2855.771776,16895.659673,-0.037840,-0.038575,6.650516,0.029190
1706400000,6.000000,6.063400,5.867300,5.946400,1560.255823,9277.905226,-0.027810,-0.028204,6.661354,0.031133
1706313600,5.969740,5.997290,5.840100,5.983630,174.753899,1045.662675,0.011377,0.011313,6.585052,0.028489
1706313600,5.910300,6.000000,5.856300,6.000000,1093.153627,6558.921762,0.009014,0.008973,6.595862,0.030733
1706227200,5.787000,5.942110,5.738000,5.937570,1298.497080,7709.917307,-0.007698,-0.007727,6.510452,0.027658
1706227200,5.753300,5.964400,5.708900,5.910300,3458.177986,20438.869351,-0.014950,-0.015063,6.521358,0.030249
1706140800,5.841000,5.841000,5.664000,5.731000,183.736524,1052.994017,-0.034790,-0.035410,6.430118,0.028092
1706140800,5.868400,5.868400,5.638000,5.753300,2268.825661,13053.234675,-0.026564,-0.026923,6.442642,0.030415
1706054400,5.839040,5.891000,5.729000,5.786000,4528.296787,26200.725212,0.009597,0.009551,6.350414,0.028220
1706054400,5.834400,6.000000,5.721500,5.868400,4372.435289,25659.199250,0.020006,0.019808,6.363825,0.030606
1705968000,6.088000,6.088000,5.550000,5.820000,11127.704905,64763.242549,0.005876,0.005859,6.284523,0.027815
1705968000,6.037000,6.126200,5.527000,5.834400,14144.604307,82525.279369,-0.005794,-0.005811,6.297383,0.029870
1705881600,6.381000,6.381000,5.973030,6.000000,9974.606414,59847.638484,0.030928,0.030459,6.220948,0.028537
1705881600,6.388200,6.388200,5.980500,6.037000,18173.746012,109714.904674,0.034725,0.034136,6.235779,0.030936
1705795200,6.447530,6.457000,6.399370,6.399370,47.291486,302.635716,0.066562,0.064440,6.200380,0.027863
1705795200,6.549500,6.568900,6.329600,6.388200,636.346715,4065.110085,0.058175,0.056545,6.214525,0.029672
1705708800,6.362300,6.604730,6.362300,6.497780,8365.633195,54358.044062,0.015378,0.015261,6.192759,0.027431
1705708800,6.348900,6.600000,6.348900,6.549500,2352.650495,15408.684417,0.025250,0.024936,6.208971,0.029555
1705622400,6.319000,6.348000,6.083010,6.314470,10877.879811,68688.045732,-0.028211,-0.028617,6.171992,0.027614
1705622400,6.318700,6.438100,6.052100,6.348900,4923.595722,31259.416879,-0.030628,-0.031107,6.188758,0.029749
1705536000,6.754010,6.811720,6.250000,6.308000,2812.085732,17738.636796,-0.001025,-0.001025,6.154575,0.027534
1705536000,6.777000,6.820000,6.234500,6.318700,9158.108374,57867.339383,-0.004757,-0.004768,6.173667,0.029456
1705449600,6.838140,6.856000,6.690000,6.735590,11734.299835,79037.432628,0.067785,0.065587,6.157850,0.030951
1705449600,6.824700,6.880500,6.666800,6.777000,8505.715620,57643.234757,0.072531,0.070021,6.179542,0.033108
1705363200,6.694160,6.894680,6.693000,6.871000,18172.636123,124864.182804,0.020104,0.019904,6.166808,0.031195
1705363200,6.649100,6.910000,6.649100,6.824700,9845.691247,67193.889053,0.007039,0.007014,6.181692,0.032879
1705276800,6.343540,6.714000,6.343540,6.642000,4153.802989,27589.559455,-0.033328,-0.033897,6.180141,0.030146
1705276800,6.329500,6.720000,6.329500,6.649100,4224.832458,28091.333496,-0.025730,-0.026067,6.195062,0.030273
1705190400,6.609000,6.609000,6.188360,6.378000,5252.793260,33502.315410,-0.039747,-0.040559,6.179266,0.031263
1705190400,6.648000,6.654400,6.329500,6.329500,955.368626,6047.005718,-0.048067,-0.049260,6.192704,0.031934
1705104000,6.603000,6.656790,6.515000,6.590000,1900.884678,12526.830025,0.033239,0.032699,6.192630,0.031636
1705104000,6.609000,6.681100,6.409600,6.648000,2808.515591,18671.011649,0.050320,0.049095,6.207996,0.033307
1705017600,6.644300,6.926300,6.453970,6.626000,8317.262336,55110.180238,0.005463,0.005448,6.218464,0.030180
1705017600,6.819800,6.960000,6.300000,6.609000,12875.549675,85094.507802,-0.005866,-0.005884,6.234883,0.031385
1704931200,6.529510,7.144740,6.529510,6.816600,17824.091761,121499.703897,0.028765,0.028360,6.253823,0.030480
1704931200,6.633600,6.962300,6.600000,6.819800,9811.787895,66914.431086,0.031896,0.031398,6.266758,0.031808
1704844800,6.078440,6.721830,6.003000,6.681090,2697.273940,18020.729945,-0.019879,-0.020080,6.277433,0.030653
1704844800,6.058400,6.770000,5.986100,6.633600,7991.141798,53010.038231,-0.027303,-0.027683,6.288412,0.032482
1704758400,6.202690,6.202690,5.728990,6.022990,3045.439293,18342.650407,-0.098502,-0.103697,6.272308,0.037124
1704758400,6.300000,6.409600,5.746900,6.058400,3986.976827,24154.700409,-0.086710,-0.090702,6.280338,0.037083
1704672000,5.963780,6.241170,5.710000,6.241170,5644.440410,35227.912154,0.036225,0.035584,6.280315,0.037687
1704672000,6.133700,6.449700,5.730000,6.300000,11018.866153,69418.856764,0.039879,0.039104,6.291062,0.037281
1704585600,6.348980,6.410000,5.959990,5.959990,31414.442515,187229.763246,-0.045052,-0.046099,6.278273,0.038867
1704585600,6.304000,6.497400,5.938400,6.133700,5771.162127,35398.577138,-0.026397,-0.026751,6.295983,0.037723
1704499200,6.364000,6.416820,6.062000,6.384980,1493.438009,9535.571818,0.071307,0.068880,6.283023,0.040580
1704499200,6.421000,6.653100,6.149900,6.304000,1305.117714,8227.462069,0.027765,0.027386,6.298267,0.037312
1704412800,6.574280,6.598000,6.190030,6.413790,3248.056490,20832.352233,0.004512,0.004502,6.294056,0.040335
1704412800,6.629600,6.812400,6.275300,6.421000,2512.726956,16134.219784,0.018560,0.018390,6.310954,0.037163
1704326400,6.490990,6.683680,6.394010,6.527660,11866.291357,77459.115442,0.017754,0.017598,6.319528,0.039503
1704326400,6.543400,6.794300,6.409700,6.629600,6488.884513,43018.708767,0.032487,0.031971,6.339421,0.037049
1704240000,7.272720,7.324000,6.000000,6.431600,24171.689360,155462.637288,-0.014716,-0.014825,6.338194,0.039674
1704240000,7.187500,7.569500,6.400000,6.543400,11966.163069,78299.391426,-0.013002,-0.013088,6.362062,0.037223
1704153600,7.321150,7.844940,7.184990,7.196990,12859.185819,92547.431747,0.119005,0.112440,6.390670,0.046006
1704153600,7.602100,7.726800,7.161600,7.187500,16989.266246,122110.351143,0.098435,0.093886,6.415279,0.041612
1704067200,7.306000,7.719850,7.306000,7.574730,936.353910,7092.628055,0.052486,0.051155,6.467492,0.045839
1704067200,7.227000,7.618800,7.150500,7.602100,2231.068103,16960.802826,0.057683,0.056081,6.492312,0.042032
1703980800,7.418000,7.621000,7.170000,7.227000,4241.374217,30652.411463,-0.045907,-0.046994,6.527533,0.047376
1703980800,7.362300,7.701500,7.158200,7.227000,7504.673320,54236.274084,-0.049342,-0.050601,6.548921,0.043840
1703894400,7.514000,7.792000,7.351000,7.427830,6923.244418,51424.682585,0.027789,0.027410,6.594526,0.047497
1703894400,7.536500,7.798300,7.322900,7.362300,8277.781643,60943.511790,0.018721,0.018548,6.612583,0.043750
1703808000,7.815010,7.815010,7.406000,7.548020,7039.369810,53133.304111,0.016181,0.016052,6.659027,0.047327
1703808000,7.822500,7.867000,7.369300,7.536500,25756.833905,194116.378725,0.023661,0.023385,6.675062,0.043544
1703721600,7.337020,8.254000,7.337020,7.790010,18525.931881,144317.194610,0.032060,0.031557,6.716970,0.046062
1703721600,7.257300,8.428800,7.257300,7.822500,20713.150279,162028.618057,0.037949,0.037246,6.734825,0.042763
1703635200,7.170010,7.940000,7.144590,7.254990,8914.539353,64674.893859,-0.068680,-0.071153,6.748521,0.048696
1703635200,7.363300,7.486200,7.009000,7.257300,9092.778425,65989.020864,-0.072253,-0.074996,6.764317,0.045717
1703548800,6.941000,7.759690,6.657000,7.436240,48873.420917,363434.487556,0.024983,0.024676,6.795261,0.048292
